,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
102,229773,0.645,0.862,11,-4.761,0,0.0845,0.0933,0,0.193,0.803,119.947,229773,4
103,207481,0.566,0.716,1,-5.733,1,0.0424,0.00691,0,0.37,0.45,81.068,207481,4
104,274097,0.539,0.846,8,-3.192,1,0.0354,0.00631,1.71E-06,0.13,0.462,106.994,274097,4
105,192441,0.558,0.526,0,-4.686,0,0.033,0.431,0,0.126,0.202,124.709,192441,4
106,196773,0.774,0.669,6,-3.693,1,0.0313,0.516,0,0.0918,0.617,94.982,196773,4
107,229651,0.317,0.652,7,-4.745,1,0.0367,0.523,0,0.101,0.257,90.111,229652,4
108,145360,0.594,0.554,11,-5.004,1,0.0386,0.465,0,0.133,0.668,77.527,145360,4
109,219336,0.57,0.65,8,-8.072,0,0.0484,0.28,0,0.147,0.738,80.012,219336,4
110,181161,0.692,0.71,10,-5.64,1,0.0616,0.0861,0,0.0478,0.681,82.016,181162,4
111,193293,0.677,0.443,0,-6.856,1,0.21,0.593,0,0.124,0.528,74.816,193293,4
112,192441,0.364,0.419,0,-9.52,0,0.0338,0.103,0.254,0.107,0.0989,81.638,192441,5
113,188053,0.76,0.811,6,-1.682,0,0.308,0.162,0,0.133,0.728,149.966,188053,4
114,206164,0.802,0.893,11,-4.103,1,0.0852,0.0614,0,0.226,0.593,120.003,206165,4
115,212026,0.741,0.91,5,-1.602,0,0.0455,0.163,0,0.174,0.707,89.974,212027,4
116,194386,0.767,0.793,0,-1.438,0,0.0583,0.11,5.81E-05,0.248,0.691,128,194387,4
117,216973,0.662,0.942,2,-2.557,1,0.0816,0.0523,7.20E-05,0.0937,0.578,155.998,216973,4
118,195680,0.697,0.857,11,-3.272,0,0.0408,0.00183,1.24E-05,0.345,0.41,104.02,195680,4
119,191840,0.739,0.825,9,-2.499,1,0.0542,0.0523,0,0.0682,0.782,127.01,191840,4
