,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
1704,187533,0.576,0.619,2,-7.246,1,0.0383,0.559,0.00000212,0.127,0.35,159.971,187533,4
1705,137973,0.706,0.78,8,-5.356,0,0.154,0.183,0.00013,0.0984,0.343,142.009,137973,4
1706,173893,0.511,0.363,8,-9.164,0,0.0477,0.847,0,0.34,0.344,86.617,173893,4
1707,176859,0.552,0.531,7,-7.732,1,0.0421,0.241,0.0000121,0.122,0.438,144.946,176859,4
1708,162066,0.693,0.808,4,-6.231,0,0.093,0.0506,0.00000118,0.578,0.547,127.945,162067,4
1709,162066,0.693,0.808,4,-6.231,0,0.093,0.0506,0.00000118,0.578,0.547,127.945,162067,4
1710,162066,0.693,0.808,4,-6.231,0,0.093,0.0506,0.00000118,0.578,0.547,127.945,162067,4
1711,162066,0.693,0.808,4,-6.231,0,0.093,0.0506,0.00000118,0.578,0.547,127.945,162067,4
1712,193792,0.697,0.775,8,-6.664,1,0.083,0.0318,0,0.232,0.826,113.886,193792,4
1713,218005,0.625,0.98,5,-4.222,0,0.132,0.11,0.00000807,0.409,0.408,113.027,218005,4
1714,218005,0.625,0.98,5,-4.222,0,0.132,0.11,0.00000807,0.409,0.408,113.027,218005,4
1715,218005,0.625,0.98,5,-4.222,0,0.132,0.11,0.00000807,0.409,0.408,113.027,218005,4
1716,218005,0.625,0.98,5,-4.222,0,0.132,0.11,0.00000807,0.409,0.408,113.027,218005,4
1717,252218,0.478,0.851,6,-5.936,0,0.377,0.0848,0,0.48,0.575,155.856,252218,4
1718,252218,0.478,0.851,6,-5.936,0,0.377,0.0848,0,0.48,0.575,155.856,252218,4
1719,252218,0.478,0.851,6,-5.936,0,0.377,0.0848,0,0.48,0.575,155.856,252218,4
1720,252218,0.478,0.851,6,-5.936,0,0.377,0.0848,0,0.48,0.575,155.856,252218,4
1721,188217,0.72,0.87,3,-5.155,0,0.142,0.0682,0,0.144,0.802,160.039,188218,4
1722,188217,0.72,0.87,3,-5.155,0,0.142,0.0682,0,0.144,0.802,160.039,188218,4
1723,188217,0.72,0.87,3,-5.155,0,0.142,0.0682,0,0.144,0.802,160.039,188218,4
1724,188217,0.72,0.87,3,-5.155,0,0.142,0.0682,0,0.144,0.802,160.039,188218,4
1725,206378,0.426,0.763,4,-4.369,1,0.049,0.197,0.00000643,0.264,0.195,155.92,206379,4
1726,149120,0.678,0.793,7,-4.479,1,0.0318,0.00154,0.205,0.0649,0.913,140.013,149120,4
1727,212352,0.526,0.834,6,-6.259,0,0.115,0.00436,0,0.0636,0.429,169.762,212352,4
1728,183473,0.385,0.265,6,-9.02,0,0.0809,0.291,0,0.135,0.285,82.744,183473,4
1729,153000,0.345,0.612,7,-6.543,0,0.0608,0.232,0,0.194,0.232,179.773,153000,3
1730,148470,0.64,0.553,2,-6.42,0,0.0411,0.0579,0,0.0914,0.486,81.992,148471,4
1731,229813,0.477,0.6,7,-5.652,1,0.0324,0.271,0,0.112,0.29,152.062,229813,3
1732,137065,0.738,0.828,10,-6.31,0,0.106,0.0119,0.0019,0.549,0.542,119.985,137066,4
1733,184963,0.494,0.348,9,-9.791,0,0.03,0.652,0.0000107,0.0859,0.134,104.923,184963,3
1734,219586,0.322,0.462,9,-9.041,0,0.0454,0.73,0.00000226,0.138,0.248,177.506,219587,3
1735,185552,0.787,0.686,6,-4.37,0,0.0339,0.0893,0,0.0927,0.836,123.51,185553,4
1736,163648,0.74,0.697,8,-4.912,1,0.034,0.0268,0,0.224,0.732,138.992,163648,4
1737,196458,0.386,0.592,11,-7.299,1,0.374,0.363,0,0.117,0.161,146.879,196458,4
1738,181120,0.681,0.798,2,-4.367,1,0.0375,0.00398,0.00000511,0.0542,0.516,105.99,181120,4
1739,104408,0.515,0.387,7,-10.614,1,0.192,0.757,0,0.622,0.408,86.313,104408,3
1740,207849,0.672,0.803,3,-5.061,0,0.049,0.0111,0,0.0782,0.578,120.058,207850,4
1741,216466,0.73,0.718,8,-3.496,1,0.0478,0.0284,0,0.0892,0.127,135.045,216467,4
1742,149890,0.721,0.457,0,-6.916,1,0.159,0.308,0,0.258,0.63,129.98,149891,4
1743,153099,0.722,0.75,8,-4.051,1,0.0445,0.00768,0,0.128,0.57,139.019,153100,4
1744,190026,0.607,0.478,1,-5.702,0,0.031,0.649,0,0.0928,0.255,88.979,190027,4
1745,188894,0.621,0.747,11,-5.084,1,0.0337,0.222,0.000194,0.147,0.426,124.015,188894,4
